,mass,redshift,x,y,z,radius,temp,t_id,id,d_id,is_sf,is_sf_first,mm_prog_id,time,dm,dt,dmdt,dyn_heating
79,59268.65625,21.99907875061035,0.3754999935626983,0.3323700129985809,0.0614500008523464,0.0008440000237897,342.1745844021151,503269.0,95893.0,132504.0,0,0,66282.0,147.24187285531823,16298.5078125,9.097331349510483,1791.570207385818,6.78457859221039e-29
80,42970.1484375,22.99808120727539,0.3757300078868866,0.3322899937629699,0.060819998383522,0.0007580000674352,288.14210629435405,503269.0,66282.0,95893.0,0,0,43311.0,138.14454150580775,11194.029296875,8.220422904162973,1361.7339919587516,5.989609783709072e-29
81,31776.119140625,24.0,0.3758499920368194,0.3322499990463257,0.0602700002491474,0.0006860000430606,245.4660800060119,503269.0,43311.0,66282.0,0,0,-1.0,129.92411860164478,,,,0.0
82,563582.0625,16.001020431518555,0.3762600123882293,0.3335399925708771,0.069410003721714,0.0017880001105368,1135.3256800415847,503269.0,440854.0,503269.0,1,1,375491.0,231.6678964033874,-111194.0625,18.987911605947204,-5856.044877793349,0.0
83,674776.125,16.998559951782227,0.3771600127220154,0.33474001288414,0.0691099986433982,0.0018980001332238,1355.2297566028708,503269.0,375491.0,440854.0,0,0,300556.0,212.6799847974402,144626.875,16.5981957081423,8713.409429740175,1.1479096864390633e-28
84,530149.25,18.00057029724121,0.3778699934482574,0.3358199894428253,0.0684700012207031,0.0017520000692456,1218.1380979969344,503269.0,300556.0,375491.0,0,0,234781.0,196.0817890892979,119253.75,14.511235540830228,8218.028689869723,1.2386037950376e-28
85,410895.5,19.0,0.3784100115299225,0.3367500007152557,0.0676399990916252,0.001609000028111,1081.878776482552,503269.0,234781.0,300556.0,0,0,178644.0,181.57055354846767,139850.71875,12.807605791256492,10919.34909844535,1.8858638925285337e-28
86,271044.78125,19.99958038330078,0.3790600001811981,0.3375900089740753,0.0669099986553192,0.0014000000664964,860.7879381811774,503269.0,178644.0,234781.0,0,0,132507.0,168.76294775721118,70895.53125,11.350404355654462,6246.079789631616,1.3011549828730166e-28
87,200149.25,20.997360229492188,0.3796699941158294,0.3382799923419952,0.0662600025534629,0.0012660000938922,736.6520796010446,503269.0,132507.0,178644.0,0,0,95897.0,157.41254340155672,42238.8125,10.170670546238483,4153.001742409362,1.0026213396992259e-28
88,157910.4375,21.99907875061035,0.3801699876785278,0.3390200138092041,0.0657399967312812,0.0011700000613927,657.614800492584,503269.0,95897.0,132507.0,0,0,66286.0,147.24187285531823,32671.6328125,9.097331349510483,3591.3425110384733,9.810337466050016e-29
89,125238.8046875,22.99808120727539,0.3807800114154815,0.3394100069999695,0.0652899965643882,0.0010829999810084,587.9243077790819,503269.0,66286.0,95897.0,0,0,43315.0,138.14454150580775,32194.03125,8.220422904162973,3916.347324867721,1.2059521651315557e-28
90,93044.7734375,24.0,0.3814899921417236,0.3397299945354461,0.064980000257492,0.0009810000192373,502.4030007678388,503269.0,43315.0,66286.0,0,0,25803.0,129.92411860164478,15477.609375,7.430117858677974,2083.0906951123247,7.377934568342854e-29
91,77567.1640625,25.001039505004883,0.3817099928855896,0.3404000103473663,0.0644399970769882,0.000923000043258,462.8344649424527,503269.0,25803.0,43315.0,0,0,13028.0,122.4940007429668,19447.76171875,12.899844081737768,1507.5966496588962,5.90064272749342e-29
92,58119.40234375,27.003360748291016,0.3796699941158294,0.3261600136756897,0.0919800028204917,0.0008380000363104,411.2179813015899,503269.0,13028.0,25803.0,0,0,-1.0,109.59415666122904,,,,0.0
93,3202985.0,15.0,0.3129499852657318,0.3848600089550018,0.2543500065803528,0.0031900003086775,3402.807073540878,514546.0,514546.0,-1.0,1,0,452879.0,253.74185883223876,1565671.625,22.07396242885136,70928.43571001182,4.942756117507407e-28
94,1637313.375,16.001020431518555,0.312389999628067,0.3860200047492981,0.256089985370636,0.0025510003324598,2311.5513838375687,514546.0,452879.0,514546.0,1,0,387962.0,231.6678964033874,384029.875,18.987911605947204,20224.96644021231,1.8729489076186502e-28
95,1253283.5,16.998559951782227,0.3118500113487243,0.3870500028133392,0.2575100064277649,0.0023330000694841,2047.729774082175,514546.0,387962.0,452879.0,1,0,311681.0,212.6799847974402,257313.375,16.5981957081423,15502.490723963092,1.6614649407394672e-28
96,995970.125,18.00057029724121,0.3113699853420257,0.387690007686615,0.2584800124168396,0.0021610001567751,1854.6499857380527,514546.0,311681.0,387962.0,1,0,244530.0,196.0817890892979,251940.3125,14.511235540830228,17361.74096210596,2.12068077624841e-28
97,744029.8125,19.0,0.3112100064754486,0.3879800140857696,0.2594999969005584,0.0019610000308603,1607.2541961297804,514546.0,244530.0,311681.0,1,0,186881.0,181.57055354846767,328955.1875,12.807605791256492,25684.362312632344,3.6393966971685155e-28
98,415074.625,19.99958038330078,0.3112600147724151,0.3880200088024139,0.2606199979782104,0.0016140000661835,1143.631831781024,514546.0,186881.0,244530.0,1,0,139323.0,168.76294775721118,102537.3125,11.350404355654462,9033.802610646087,1.632664787104842e-28
99,312537.3125,20.997360229492188,0.3113099932670593,0.388260006904602,0.2616199851036072,0.0014690000098198,991.5037816638104,514546.0,139323.0,186881.0,1,0,101497.0,157.41254340155672,54477.625,10.170670546238483,5356.345459459208,1.1146216111076413e-28
100,258059.6875,21.99907875061035,0.3113000094890594,0.3884199857711792,0.2625499963760376,0.0013780001318082,912.384341563835,514546.0,101497.0,139323.0,1,1,70800.0,147.24187285531823,51492.53125,9.097331349510483,5660.179812266677,1.3126660790119918e-28
101,206567.15625,22.99808120727539,0.3115699887275696,0.3885799944400787,0.2632000148296356,0.0012790000764653,820.7350657027655,514546.0,70800.0,101497.0,0,0,46818.0,138.14454150580775,42238.796875,8.220422904162973,5138.27541081974,1.3391384356469152e-28
102,164328.359375,24.0,0.3115899860858917,0.388729989528656,0.2638500034809112,0.0011849999427795,734.061732937996,514546.0,46818.0,70800.0,0,0,28452.0,129.92411860164478,46716.421875,7.430117858677974,6287.4402214815145,1.8422998326022918e-28
103,117611.9375,25.001039505004883,0.3118000030517578,0.3887099921703338,0.2642799913883209,0.0010600000387057,610.8595396886657,514546.0,28452.0,46818.0,0,0,-1.0,122.4940007429668,,,,0.0
104,93985.0703125,19.0,0.3104900121688843,0.3881700038909912,0.2603999972343445,0.0009840000420808,404.6351423648669,514546.0,244531.0,311681.0,1,0,186884.0,181.57055354846767,-626.8671875,12.807605791256492,-48.94491583492914,0.0
105,94611.9375,19.99958038330078,0.3096399903297424,0.3889699876308441,0.2606300115585327,0.0009860000573098,426.7426758821892,514546.0,186884.0,244531.0,1,1,139327.0,168.76294775721118,16626.8671875,11.350404355654462,1464.8700316316879,4.333967123640583e-29
106,77985.0703125,20.997360229492188,0.3087599873542785,0.389710009098053,0.2612000107765198,0.000925000058487,392.9772860917105,514546.0,139327.0,186884.0,0,0,101501.0,157.41254340155672,27179.1015625,10.170670546238483,2672.3018348629835,8.832992654208572e-29
107,50805.96875,21.99907875061035,0.3082199990749359,0.3903000056743622,0.2616400122642517,0.0008020000532269,308.774098009679,514546.0,101501.0,139327.0,0,0,70804.0,147.24187285531823,15164.1796875,9.097331349510483,1666.8821992853946,6.645037132314835e-29
108,35641.7890625,22.99808120727539,0.3077200055122375,0.3908399939537048,0.2620100080966949,0.0007120000664144,254.37152166007135,514546.0,70804.0,101501.0,0,0,-1.0,138.14454150580775,,,,0.0
109,53208.953125,18.00057029724121,0.3125100135803222,0.3885700106620788,0.25832000374794,0.0008140000281855,263.0798471823581,514546.0,311682.0,387962.0,1,1,244534.0,196.0817890892979,313.43359375,14.511235540830228,21.599373317874463,7.005036389528879e-31
110,52895.51953125,19.0,0.3129599988460541,0.3898800015449524,0.2598200142383575,0.0008120000129565,275.82709680134235,514546.0,244534.0,311682.0,0,0,186887.0,181.57055354846767,6268.65625,12.807605791256492,489.4479383710804,1.6741367237516622e-29
111,46626.86328125,19.99958038330078,0.3132700026035309,0.3909099996089935,0.2610200047492981,0.0007789999945089,266.2520252410864,514546.0,186887.0,244534.0,0,0,139330.0,168.76294775721118,7208.953125,11.350404355654462,635.1274279853031,2.378942615630373e-29
112,39417.91015625,20.997360229492188,0.3134700059890747,0.3917999863624573,0.2619900107383728,0.0007370000239461,249.35735261144828,514546.0,139330.0,186887.0,0,0,101505.0,157.41254340155672,9104.478515625,10.170670546238483,895.1699373442193,3.714500749431497e-29
